url,label
https://qrco.de/bfMxGP,1
https://proj-ac6e2.web.app/,1
http://tdameritrade.com.hk,0
https://t.co/JGY0alBNjW,1
http://hbmcom.net,0
https://personnalite.cliente-30hrs.app,1
https://reurl.cc/o5qVbD,1
https://us6.campaign-archive.com/?u=e3d710c17c08ff22ad70ad86c&id=571562bf15,1
https://cppzelcazileqbpu.net/Q8fR1nZp,1
http://dom.by,0
http://gulfcoastmedia.com,0
https://pichinchaacredit.webcindario.com/validacion/mailvalidation.html,1
https://mlbvcdrey.web.app/,1
https://docs.google.com/presentation/d/e/2PACX-1vSPilMOT6V4tr0b8CT0Alp_qepgCvtM_uFUhMw_CGQL2v01ZM-7HxuHmyd3EVr4OBTwAHHdr0D3xg6C/pub?start=false&loop=false&delayms=3000&slide=id.p,1
https://lapin-terrinouveau.firebaseapp.com/,1
https://t.co/JoX82LbvoC,1
https://docs.google.com/presentation/d/e/2PACX-1vQPZ-godLfo3X388K8ddBkDXT35fb2YlJ6EWKtiSyzbjqDXLlKKIr_CeQBbSEkxBAM7Db62GtJqvI70/pub?start=false&loop=false&delayms=3000,1
http://pcinfo-web.com,0
http://rodekors.dk,0
https://dellavillas.com/unfold,1
http://midi-karaoke.info,0
http://cantliee.com,0
http://www.otahuhumainstreet.co.nz/,1
https://mlo9e9hbb.cc.rs6.net/tn.jsp?f=001a62BZ8t6wb4geLzs53uESGehIZw9i_6jdNzZ5bWVjjF5aXC3lveP6cAv86atoEEasTuTp2W0zo9c6k4QkKkfxUDJhY6uH3wGCbNpEPp4P-YCCdyyyDa2Oh9PlVteHEpJrL_SQi6E2xuxKYQUiiu0Hw==&c=-saTtnLutHM6Ewrdcsavvk1BwowinwCzTt1ieRwTjM1BmLkzSAknUA==&ch=yzFYlEgZDtCtEiWszT8ZdjfTnXcyZkcbTRe6FhQJmyi6Hrl1NHhdog=,1
https://dakloun.web.app/,1
https://adgnaunimer.weebly.com/,1
http://otogi-frontier.com,0
https://app.jotform.com/251923022360547,1
http://landiyuan.cn,0
https://bestesgrous.firebaseapp.com/,1
https://private-user-support-center.io.vn/,1
https://mircopucci.it/wp-content/2wlB5xFwgjM2SBPbvaz2NRCQtMAl6BnZ/?id=c26678a366428d87af25dda7d7be1b77&email,1
http://innovatemindpro.id,0
https://docs.google.com/presentation/d/e/2PACX-1vSe99lNtaQQwZzqN7pAW4jlzVRskxYCXLNLkZoJFzfb-YwbFLr6YuuVPNafRe7Hf1lQmEwbO8mqOhRt/pub?start=false&amp;loop=false&amp;delayms=3000,1
